COMM_NAME,COMM_CODE,COMM_WT,INDEX2011,INDEX20112012,INDEX2012,INDEX20122013,INDEX2013,INDEX20132014,INDEX2014,INDEX20142015,INDEX2015,INDEX20152016,INDEX2016,INDEX20162017,INDEX2017,INDEX20172018,INDEX2018,INDEX20182019,INDEX2019,INDEX20192020,INDEX2020,INDEX20202021,INDEX2021,INDEX20212022,INDEX2022,INDEX20222023
Additive,1310070009,0.08986,NA,NA,NA,108,112.7,114.3,116.7,116.4,111.1,108.7,105.6,105.8,108.6,109.8,115.3,116.7,116.4,115.5,115.3,117.9,133.6,141.5,166.7,170.9
Foundry chemical,1310070010,0.00808,NA,NA,NA,103.9,101.3,98.8,91.5,89.3,93.3,96.2,96.3,95.7,98.3,99.7,102,102.7,103.3,103.6,105.2,105.9,113.9,117.2,124.1,124.2
"(K). MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",1311000000,1.99345,NA,NA,NA,104.8,,108.3,113.2,114.5,117.7,118.7,119.4,119.7,121,121.2,122.3,123.5,126.2,127.3,130.4,130.9,134.6,135.9,139.7,140.9
Anti cancer drugs,1311010002,0.08012,NA,NA,NA,89.1,91.6,92.9,97.5,98.9,104.9,105.8,103.1,99.2,87.5,84.4,74.1,75.1,80.8,80.8,78.7,77.2,72.7,72.6,72.2,71.4
Simvastatin,1311010010,0.0523,NA,NA,NA,101.9,103.1,102.5,101.5,,110.7,114.2,113,113.7,109.2,107.1,106.4,106.7,107.3,106.3,105.3,106.5,116.8,119.1,118.3,118.9
Digestive enzymes and antacids,1311010011,0.03613,NA,NA,NA,102.4,103.1,103.7,106.7,108.2,110.5,110.1,110.1,110.7,112.4,113.5,118.6,120.5,122.9,123.4,124.3,124,125.3,126.5,133,134.6
Sulpha drugs,1311010014,0.03627,NA,NA,NA,107.6,121.6,128.5,132.2,131.8,136.4,136.9,139.2,143.9,157.9,155.9,149.6,159.9,193.9,196.5,194.5,193.4,195.4,199.4,218.4,220.6
Anti allergic drugs,1311010015,0.00959,NA,NA,NA,113.1,115.8,115.1,115.3,116.1,119.5,121.8,117.6,114.6,121.7,124.6,121.1,118.2,114.3,114.6,116.8,117.6,114.4,111.5,110.5,112.8
Antioxidants,1311010016,0.02243,NA,NA,NA,101.2,110.9,111.2,108.4,109.3,114.8,110.7,99.9,104.8,126.2,131.5,138.2,139.2,139.4,138.8,139.8,140.5,155.6,161.5,171.9,173.7
Steroids and hormonal preparations (including anti-fungal preparations),1311010020,0.01615,NA,NA,NA,100.5,104.6,105.5,107.5,108.8,111.7,112.1,112.9,114.3,110.4,107,103.5,103.5,102.7,102,101,100.9,105.5,107.8,112,113.2
Anti-malarial drugs,1311010021,0.06041,NA,NA,NA,106.3,110.5,112.3,117.6,118.5,121.2,119.9,112.4,110.2,102.9,99.1,92.1,93.5,95.6,96.8,97.3,95.8,93.7,94.3,104.2,106.5
(L). MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS,1312000000,2.29851,NA,NA,NA,103.7,108,110.1,112.6,111.8,109,108.2,106.7,107.5,107.9,107.6,108.9,109.6,109,108.5,108.9,111.3,122.1,124.8,129.6,129.7
a. Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,1312010000,0.60897,NA,NA,NA,103.1,,105.4,106,106,103.6,102.4,100.9,,101.5,100.3,98.4,98.9,99.2,98.9,98.1,98.3,102.6,104.3,109.9,111.8
Solid Rubber Tyres/Wheels,1312010005,0.00473,NA,NA,NA,103.4,102.2,103.2,103.1,102.8,100.4,100,98,98.1,98.3,98,98,97.3,96.2,96.1,96.7,97.8,100.2,100.1,104,105.7
Medium & heavy commercial vehicle tube,1312010010,0.12918,NA,NA,NA,105.5,105.9,106.2,106.5,106.4,99.5,96.6,98.8,100.2,99.7,97.1,89.8,90.4,92.1,92.1,91.6,91.6,94.8,95.6,102.8,106
b. Manufacture of other rubber products,1312020000,0.27178,NA,NA,NA,100.3,99.6,99.3,96.7,95.6,92.5,91.4,89.8,90.4,91.2,91,91.3,91.7,93.4,93.5,92.6,93.3,99.5,101.9,106.3,106.4
V belt,1312020001,0.01101,NA,NA,NA,102.9,106.2,107.6,110.8,111.2,110.6,109.9,104.1,103.4,112.7,116.6,122.4,122.8,123.5,123.7,125.2,126.2,130.3,132.3,146,151.2
Rubber tubes- not for tyres,1312020010,0.05076,NA,NA,NA,97.1,95.6,94.8,93.8,93.7,92.7,92.2,91.9,91.7,90.8,90,87.9,88,88.2,88.4,89.3,89.9,94.7,96,95.5,94.7
Polyester film (non-metalized),1312030002,0.01969,NA,NA,NA,103.8,115.2,119,118.6,114.6,107,103.3,94,96,95.7,95.4,105.4,107.9,103.6,101.3,95.8,96.8,106.5,111.1,118.6,114.9
Thermocol,1312030009,0.06841,NA,NA,NA,106.7,119.1,121.5,125.1,124.6,121.6,119.5,112.1,112.8,119.5,121.3,125.4,126.1,124.3,123.4,122.6,125.7,142.5,147,156.2,156.8
Plastic tape,1312030012,0.01448,NA,NA,NA,104.7,109.1,111.1,113,111.6,109.3,108.9,108.6,109.6,108.8,108.2,110.6,111.8,112.5,112.1,113.5,116.2,129.5,133.1,133.5,132
Plastic components,1312030013,0.20335,NA,NA,NA,103.7,108.6,112.4,116.7,116.1,115.2,115.3,115.4,116.7,118.7,118.8,122.2,123.3,119.7,118.6,116.5,117.4,126.4,128.3,135.9,136.7
Acrylic/plastic sheet,1312030015,0.01563,NA,NA,NA,105.2,110.4,112.6,115.2,113.7,109,107.7,106.3,107.4,109.2,109.5,112.5,114,114,113.1,113.4,116.6,132.2,136.7,140.4,137.8
Glass bottle,1313010004,0.1985,NA,NA,NA,105.9,106.3,106.3,110.6,112.9,113.7,113.7,115.8,115.8,116,116.7,120.6,123.3,128.4,128.5,130.5,131.6,140.1,143.6,158.4,165.1
Opthalmic lens,1313010005,0.03097,NA,NA,NA,105.9,108.8,110.1,115.3,116.9,118.5,118.9,122.1,123.8,127.6,128.1,130.5,131,130.8,130.7,130.9,131.3,133.7,134.4,135.9,136.6
Ceramic tiles (Vitrified tiles),1313020002,0.17903,NA,NA,NA,109.5,112.1,112.7,115.8,118.7,125.6,124,119.4,119.8,118.5,116.4,112.6,113.1,110.9,109.9,110.4,111.7,116.5,118.2,121.6,121.5
Plain bricks,1313020003,0.03659,NA,NA,NA,103.7,106,107.4,100.6,97.1,96.4,97.2,98,97.4,94.7,94,94,94.1,94.5,94.5,91.6,90.4,91.8,93.9,96,95
Electric insulating material,1313040002,0.20102,NA,NA,NA,103.2,102,101.2,104.3,106.2,108.1,108.1,108.9,109.2,109.7,109.6,109.1,109.5,110.7,110.7,106.2,105.4,106.5,107.1,110.3,110.7
Ordinary Portland cement,1313050003,0.85277,NA,NA,NA,107.2,103.9,104.3,108.7,110.1,108.6,107,107.5,107.8,109.9,111.4,111.8,112.6,118.9,119.9,120.2,120.8,123.8,125.4,132.9,135.2
Graphite rod,1313080001,0.16911,NA,NA,NA,108.6,107.8,106.9,98.5,94.5,88.9,87.8,74.9,70.9,78.9,89.9,129.7,130.4,96,86.6,78.3,78.9,85.8,90.6,103.9,105.9
MS Wire Rods,1314040001,0.37842,NA,NA,NA,105.2,102.5,102.5,104.9,103.7,93.3,90.3,88.6,89.9,96.5,100.5,111.8,112.7,107.8,106.2,106,111.3,135.2,141.1,152.4,152.1
MS Bright Bars,1314040002,0.55727,NA,NA,NA,102.2,98,97.9,,100.1,87,82.8,78.7,79.9,86.7,91.7,107.6,108.9,104.2,102.7,104.6,110.2,132.4,138.8,152.6,152.9
Rails,1314040003,0.13227,NA,NA,NA,90.6,90.6,91.2,94.5,95.1,95.2,95.2,95.3,95.3,96.1,97.9,106.1,108,112.2,115.1,121.8,121.9,120.4,120.5,125.8,128.1
Steel cables,1314050004,0.05514,NA,NA,NA,103,101,106.9,111.8,111,120.8,118.4,109.4,112.6,124.3,125.9,131.3,132.2,130.7,131.1,132.9,132.7,135.3,138.5,148.1,149.3
